R,G,B
0,0.00E+00,2.46E-03
0.00E+00,0.00E+00,3.12E-03
0,0.00E+00,3.80E-03
0,0.00E+00,4.48E-03
0.00E+00,0.00E+00,5.25E-03
0.00E+00,3.21E-05,6.19E-03
0.00E+00,6.41E-05,7.03E-03
0.00E+00,1.50E-04,0.007927350427
0.00E+00,3.10E-04,9.27E-03
0.00E+00,6.20E-04,1.05E-02
4.27E-05,1.37E-03,1.19E-02
1.39E-04,2.25E-03,1.32E-02
2.67E-04,3.50E-03,0.0147008547
4.17E-04,0.004764957265,0.01615384615
7.91E-04,0.006527777778,0.01775641026
1.19E-03,0.008066239316,0.02008547009
1.71E-03,0.009615384615,0.02376068376
2.45E-03,0.01114316239,0.02836538462
3.18E-03,0.01266025641,0.03303418803
0.003920940171,0.0138034188,0.03723290598
4.58E-03,0.01495726496,0.04197649573
0.005256410256,0.01602564103,0.04832264957
0.005854700855,0.01701923077,0.05525641026
0.006314102564,0.01836538462,0.06303418803
6.81E-03,0.01962606838,0.07104700855
0.00733974359,0.02128205128,0.07884615385
0.007831196581,0.02318376068,0.08748931624
8.25E-03,0.02532051282,0.09723290598
8.82E-03,0.02803418803,0.1074358974
0.009401709402,0.03079059829,0.1205448718
0.01010683761,0.03386752137,0.1325534188
1.09E-02,0.03762820513,0.1459401709
1.20E-02,0.0421474359,0.1590918803
0.01322649573,0.04742521368,0.172275641
0.01429487179,0.05342948718,0.1838354701
1.57E-02,0.05952991453,0.1943482906
1.73E-02,0.06514957265,0.2046153846
0.01902777778,0.07088675214,0.2143162393
0.02098290598,0.07652777778,0.2226068376
2.25E-02,0.08293803419,0.2314957265
2.46E-02,0.08893162393,0.2406303419
0.02668803419,0.09483974359,0.2505021368
0.0285042735,0.1011004274,0.2613568376
3.06E-02,0.1066239316,0.2721367521
0.03268162393,0.1120940171,0.2835363248
0.03511752137,0.1176495726,0.2951816239
0.03728632479,0.1235042735,0.3075534188
0.03933760684,0.1297542735,0.3191346154
0.04146367521,0.1361004274,0.3304594017
0.04373931624,0.1433867521,0.3407371795
