R,G,B
0,0,1.18E-04
0.00E+00,0,2.03E-04
0,0,4.27E-04
0,0,7.91E-04
0,0,0.001260683761
0.00E+00,1.07E-05,0.001965811966
0,1.07E-05,0.003055555556
2.14E-05,6.41E-05,0.004946581197
9.62E-05,2.46E-04,0.007841880342
2.56E-04,4.49E-04,0.0125
4.81E-04,9.72E-04,0.01802350427
7.59E-04,0.001730769231,0.02460470085
0.00108974359,0.002745726496,0.03069444444
1.39E-03,0.003952991453,0.03691239316
0.001730769231,0.00594017094,0.04323717949
0.002040598291,0.008215811966,0.05003205128
0.002478632479,0.01053418803,0.05709401709
0.002948717949,0.01348290598,0.06394230769
0.003547008547,0.01680555556,0.0719017094
0.004102564103,0.02113247863,0.07948717949
4.84E-03,0.02526709402,0.08780982906
0.005705128205,0.02951923077,0.09646367521
0.006709401709,0.03391025641,0.1049038462
0.007788461538,0.03856837607,0.1127777778
9.04E-03,0.04313034188,0.1208333333
0.01057692308,0.04748931624,0.1284935897
0.01209401709,0.05228632479,0.1363675214
1.36E-02,0.05682692308,0.1449358974
1.54E-02,0.06167735043,0.1532692308
0.01706196581,0.06631410256,0.1628205128
0.0189957265,0.07153846154,0.1723397436
2.09E-02,0.07686965812,0.1835149573
2.27E-02,0.08219017094,0.1949679487
0.02460470085,0.08772435897,0.2065811966
0.0265491453,0.09347222222,0.2169871795
2.86E-02,0.0990491453,0.2263995726
3.05E-02,0.1039636752,0.2359294872
0.03284188034,0.1093055556,0.2456089744
0.03498931624,0.1142521368,0.2540705128
3.76E-02,0.1189102564,0.2630128205
3.99E-02,0.1241346154,0.2719230769
0.04241452991,0.1289529915,0.2805982906
0.04495726496,0.1338141026,0.2893055556
4.72E-02,0.1387179487,0.2975961538
0.04967948718,0.1437606838,0.3057264957
0.05207264957,0.1486645299,0.3140811966
0.05482905983,0.1537286325,0.3220619658
0.05775641026,0.1586431624,0.3301602564
0.06070512821,0.1652884615,0.3386217949
0.0641025641,0.1723611111,0.3473717949
